End of Month,Retired_Worker_Total_Amount,Retired_Worker_Total_Average_Amount,Retired_Worker_Male_Number,Retired_Worker_Male_Average_Amount,Retired_Worker_Male_Female_Number,Retired_Worker_Female_Average_Amount,Spouse_of_Retired_Worker_Total_Number,Spouse_of_Retired_Worker_Total_Average_Amount,Spouse_of_Retired_Worker_Male_Number,Spouse_of_Retired_Worker_Male_Average_Amount,Spouse_of_Retired_Worker_Female_Number,Spouse_of_Retired_Worker_Female_Average_Amount,Child_Of_Retired_Worker_Total_Number,Child_Of_Retired_Worker_Total_Average_Amount,Child_Of_Retired_Worker_Minor_Number,Child_Of_Retired_Worker_Minor_Average_Amount,Child_Of_Retired_Worker_Disabled_Number,Child_Of_Retired_Worker_Disabled_Average_Amount,Child_Of_Retired_Worker_Student_Number,Child_Of_Retired_Worker_Student_Average_Amount,Child_Of_Deceased_Worker_Total_Number,Child_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Deceased_Worker_Minor_Number,Child_Of_Deceased_Worker_Minor_Average_Amount,Child_Of_Deceased_Worker_Disabled_Number,Child_Of_Deceased_Worker_Disabled_Average_Amount,Child_Of_Deceased_Worker_Student_Number,Child_Of_Deceased_Worker_Student_Average_Amount,Child_Of_Aged_Widower_Total_Number,Child_Of_Aged_Widower_Total_Average_Amount,Child_Of_Aged_Widower_Male_Number,Child_Of_Aged_Widower_Male_Average_Amount,Child_Of_Aged_Widower_Female_Number,Child_Of_Aged_Widower_Female_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Total_Number,Child_Of_Young_Widower_With_Child_In_Care_Total_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Male_Number,Child_Of_Young_Widower_With_Child_In_Care_Male_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Female_Number,Child_Of_Young_Widower_With_Child_In_Care_Female_Average_Amount,Child_Of_Disabled_Widower_Total_Number,Child_Of_Disabled_Widower_Total_Average_Amount,Child_Of_Disabled_Widower_Male_Number,Child_Of_Disabled_Widower_Male_Average_Amount,Child_Of_Disabled_Widower_Female_Number,Child_Of_Disabled_Widower_Female_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Total_Number,Child_Of_Parent_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Male_Number,Child_Of_Parent_Of_Deceased_Worker_Male_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Female_Number,Child_Of_Parent_Of_Deceased_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Male_Number,Child_Of_Disabled_Worker_Male_Average_Amount,Child_Of_Disabled_Worker_Female_Number,Child_Of_Disabled_Worker_Female_Average_Amount,Spouse_Of_Disabled_Worker_Total_Number,Spouse_Of_Disabled_Worker_Total_Average_Amount,Spouse_Of_Disabled_Worker_Male_Number,Spouse_Of_Disabled_Worker_Male_Average_Amount,Spouse_Of_Disabled_Worker_Female_Number,Spouse_Of_Disabled_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Minor_Number,Child_Of_Disabled_Worker_Minor_Average_Amount,Child_Of_Disabled_Worker_Disabled_Number,Child_Of_Disabled_Worker_Disabled_Average_Amount,Child_Of_Disabled_Worker_Student_Number,Child_Of_Disabled_Worker_Student_Average_Amount,,,,,,,,,,,
Dec-01,"28,836,774",$874.44 ,"14,930,081",$984.58 ,"13,906,693",$756.18 ,"2,741,962",$442.69 ,"33,678",$250.27 ,"2,708,284",$445.08 ,"467,064",$412.64 ,"262,509",$382.16 ,"191,809",$451.02 ,"12,746",$462.62 ,"1,890,156",$570.79 ,"1,345,986",$558.86 ,"486,817",$595.21 ,"57,353",$643.60 ,"4,624,084",$840.83 ,"37,407",$636.83 ,"4,586,677",$842.49 ,"197,375",$620.78 ,"10,014",$528.10 ,"187,361",$625.73 ,"204,243",$536.69 ,"5,580",$374.84 ,"198,663",$541.23 ,"2,564",$728.64 ,261,$689.09 ,"2,303",$733.12 ,"5,274,183",$814.46 ,"2,951,833",$913.72 ,"2,322,350",$688.28 ,"156,899",$207.08 ,"4,031",$164.54 ,"152,868",$208.21 ,"1,482,161",$237.94 ,"1,385,357",$230.72 ,"57,920",$339.85 ,"38,884",$343.48 ,,,,,,,,,,,
Jan-02,"28,902,760",$875.54 ,"14,969,434",$985.85 ,"13,933,326",$757.03 ,"2,735,790",$442.98 ,"33,784",$250.70 ,"2,702,006",$445.38 ,"469,318",$413.96 ,"262,835",$383.56 ,"191,646",$451.69 ,"14,837",$465.11 ,"1,896,782",$572.53 ,"1,344,173",$560.55 ,"487,079",$595.63 ,"65,530",$646.60 ,"4,602,695",$841.59 ,"37,093",$637.71 ,"4,565,602",$843.24 ,"180,789",$610.59 ,"9,032",$517.67 ,"171,757",$615.48 ,"204,099",$536.83 ,"5,597",$375.45 ,"198,502",$541.39 ,"2,551",$730.64 ,259,$686.97 ,"2,292",$735.57 ,"5,289,311",$814.85 ,"2,957,801",$914.15 ,"2,331,510",$688.88 ,"154,084",$206.39 ,"4,005",$164.80 ,"150,079",$207.50 ,"1,486,871",$238.60 ,"1,383,871",$230.96 ,"57,874",$340.29 ,"45,126",$342.62 ,,,,,,,,,,,
Feb-02,"28,940,269",$876.17 ,"14,988,201",$986.58 ,"13,952,068",$757.57 ,"2,730,688",$443.14 ,"33,833",$250.99 ,"2,696,855",$445.55 ,"473,144",$414.67 ,"264,197",$384.05 ,"191,728",$452.20 ,"17,219",$466.71 ,"1,907,453",$573.16 ,"1,345,475",$560.72 ,"487,574",$596.00 ,"74,404",$648.30 ,"4,599,240",$842.34 ,"37,333",$639.26 ,"4,561,907",$844.01 ,"183,130",$612.13 ,"9,234",$521.13 ,"173,896",$616.96 ,"204,271",$537.12 ,"5,640",$375.98 ,"198,631",$541.69 ,"2,532",$732.69 ,258,$688.85 ,"2,274",$737.67 ,"5,309,164",$815.23 ,"2,966,454",$914.54 ,"2,342,710",$689.47 ,"154,115",$206.37 ,"4,023",$164.96 ,"150,092",$207.48 ,"1,495,558",$238.93 ,"1,386,229",$230.84 ,"57,931",$340.50 ,"51,398",$342.67 ,,,,,,,,,,,
Mar-02,"28,956,449",$876.78 ,"14,995,581",$987.21 ,"13,960,868",$758.16 ,"2,722,642",$443.27 ,"34,015",$251.38 ,"2,688,627",$445.69 ,"477,219",$415.40 ,"265,697",$384.48 ,"191,804",$452.79 ,"19,718",$468.42 ,"1,921,384",$573.73 ,"1,349,044",$560.76 ,"488,123",$596.47 ,"84,217",$649.62 ,"4,595,101",$843.20 ,"37,770",$640.81 ,"4,557,331",$844.88 ,"185,447",$613.82 ,"9,388",$524.21 ,"176,059",$618.60 ,"204,651",$537.37 ,"5,658",$376.58 ,"198,993",$541.94 ,"2,507",$733.30 ,255,$685.96 ,"2,252",$738.66 ,"5,335,005",$815.63 ,"2,977,875",$914.97 ,"2,357,130",$690.13 ,"154,349",$206.22 ,"4,073",$164.02 ,"150,276",$207.36 ,"1,508,879",$239.28 ,"1,392,471",$230.67 ,"58,142",$341.02 ,"58,266",$343.50 ,,,,,,,,,,,
Apr-02,"28,979,929",$877.38 ,"15,006,950",$987.86 ,"13,972,979",$758.73 ,"2,717,067",$443.42 ,"34,194",$251.34 ,"2,682,873",$445.87 ,"480,723",$416.06 ,"266,992",$384.87 ,"191,895",$453.30 ,"21,836",$470.10 ,"1,931,924",$574.46 ,"1,351,284",$561.05 ,"488,685",$596.88 ,"91,955",$652.54 ,"4,591,860",$843.93 ,"38,059",$642.14 ,"4,553,801",$845.62 ,"187,313",$615.52 ,"9,568",$525.80 ,"177,745",$620.35 ,"204,958",$537.93 ,"5,709",$377.54 ,"199,249",$542.52 ,"2,497",$733.70 ,255,$685.75 ,"2,242",$739.15 ,"5,358,770",$816.26 ,"2,988,061",$915.68 ,"2,370,709",$690.96 ,"154,361",$206.18 ,"4,093",$164.04 ,"150,268",$207.33 ,"1,519,419",$239.61 ,"1,397,579",$230.67 ,"58,238",$341.27 ,"63,602",$343.11 ,,,,,,,,,,,
May-02,"29,012,535",$877.86 ,"15,022,779",$988.40 ,"13,989,756",$759.16 ,"2,713,377",$443.52 ,"34,383",$250.93 ,"2,678,994",$445.99 ,"483,244",$416.59 ,"268,139",$385.30 ,"191,944",$453.68 ,"23,161",$471.39 ,"1,937,090",$574.94 ,"1,351,060",$561.20 ,"489,141",$597.29 ,"96,889",$653.62 ,"4,590,220",$844.57 ,"38,239",$643.60 ,"4,551,981",$846.25 ,"188,849",$617.21 ,"9,746",$527.49 ,"179,103",$622.09 ,"205,195",$538.26 ,"5,737",$377.39 ,"199,458",$542.89 ,"2,482",$734.04 ,254,$686.50 ,"2,228",$739.46 ,"5,377,860",$816.78 ,"2,996,162",$916.27 ,"2,381,698",$691.62 ,"154,363",$206.15 ,"4,100",$164.56 ,"150,263",$207.29 ,"1,525,020",$239.88 ,"1,399,726",$230.72 ,"58,291",$341.57 ,"67,003",$342.86 ,,,,,,,,,,,
Jun-02,"29,037,692",$878.38 ,"15,033,888",$988.97 ,"14,003,804",$759.65 ,"2,707,758",$443.74 ,"34,421",$251.15 ,"2,673,337",$446.22 ,"476,734",$416.77 ,"269,493",$386.50 ,"191,986",$454.30 ,"15,255",$479.29 ,"1,906,980",$574.45 ,"1,354,431",$562.18 ,"489,692",$597.72 ,"62,857",$657.76 ,"4,588,380",$845.29 ,"38,530",$645.56 ,"4,549,850",$846.98 ,"190,855",$620.70 ,"9,974",$529.27 ,"180,881",$625.74 ,"205,660",$538.47 ,"5,792",$376.69 ,"199,868",$543.16 ,"2,481",$735.14 ,256,$689.10 ,"2,225",$740.44 ,"5,400,903",$817.46 ,"3,006,330",$916.97 ,"2,394,573",$692.53 ,"154,369",$206.99 ,"4,118",$165.83 ,"150,251",$208.11 ,"1,504,613",$239.60 ,"1,404,464",$232.08 ,"58,360",$342.73 ,"41,789",$348.60 ,,,,,,,,,,,
Jul-02,"29,073,967",$878.93 ,"15,049,835",$989.59 ,"14,024,132",$760.17 ,"2,703,150",$443.93 ,"34,553",$251.49 ,"2,668,597",$446.42 ,"465,886",$416.58 ,"269,860",$388.92 ,"191,988",$454.86 ,"4,038",$445.06 ,"1,863,290",$573.43 ,"1,353,747",$563.84 ,"490,322",$598.19 ,"19,221",$617.39 ,"4,583,868",$846.00 ,"38,602",$646.80 ,"4,545,266",$847.69 ,"189,798",$625.32 ,"9,992",$533.10 ,"179,806",$630.45 ,"205,812",$538.78 ,"5,839",$378.36 ,"199,973",$543.47 ,"2,471",$735.98 ,254,$687.70 ,"2,217",$741.51 ,"5,421,623",$818.20 ,"3,015,180",$917.75 ,"2,406,443",$693.45 ,"152,715",$208.25 ,"4,088",$165.97 ,"148,627",$209.41 ,"1,476,884",$238.98 ,"1,405,603",$233.72 ,"58,424",$344.02 ,"12,857",$336.67 ,,,,,,,,,,,
Aug-02,"29,106,082",$879.52 ,"15,064,849",$990.29 ,"14,041,233",$760.68 ,"2,699,734",$444.09 ,"34,688",$251.56 ,"2,665,046",$446.60 ,"467,541",$417.18 ,"269,825",$389.34 ,"192,168",$455.30 ,"5,548",$451.20 ,"1,869,234",$573.91 ,"1,352,024",$563.96 ,"490,877",$598.54 ,"26,333",$625.70 ,"4,580,117",$846.75 ,"38,619",$648.44 ,"4,541,498",$848.43 ,"188,144",$626.76 ,"9,945",$533.67 ,"178,199",$631.95 ,"206,072",$539.08 ,"5,909",$377.79 ,"200,163",$543.84 ,"2,465",$735.94 ,253,$687.31 ,"2,212",$741.50 ,"5,444,445",$818.84 ,"3,025,136",$918.46 ,"2,419,309",$694.27 ,"152,301",$208.64 ,"4,100",$165.83 ,"148,201",$209.82 ,"1,483,303",$239.51 ,"1,407,553",$233.92 ,"58,622",$343.92 ,"17,128",$341.56 ,,,,,,,,,,,
Sep-02,"29,137,792",$880.00 ,"15,079,035",$990.87 ,"14,058,757",$761.08 ,"2,695,190",$444.21 ,"34,805",$251.19 ,"2,660,385",$446.74 ,"469,996",$417.92 ,"270,245",$389.85 ,"192,236",$455.77 ,"7,515",$458.92 ,"1,879,129",$574.36 ,"1,352,180",$563.95 ,"491,435",$598.86 ,"35,514",$631.75 ,"4,578,451",$847.42 ,"38,875",$650.21 ,"4,539,576",$849.11 ,"190,842",$628.02 ,"10,149",$535.61 ,"180,693",$633.21 ,"206,386",$539.50 ,"5,959",$377.56 ,"200,427",$544.31 ,"2,443",$738.59 ,249,$695.06 ,"2,194",$743.53 ,"5,471,701",$819.54 ,"3,037,332",$919.21 ,"2,434,369",$695.18 ,"152,207",$208.79 ,"4,111",$165.44 ,"148,096",$209.99 ,"1,493,143",$240.00 ,"1,411,200",$233.92 ,"58,939",$344.19 ,"23,004",$346.05 ,,,,,,,,,,,
Oct-02,"29,166,713",$880.46 ,"15,093,630",$991.40 ,"14,073,083",$761.47 ,"2,692,064",$444.33 ,"34,939",$251.24 ,"2,657,125",$446.87 ,"472,373",$418.63 ,"270,295",$390.28 ,"192,249",$456.23 ,"9,829",$463.00 ,"1,888,401",$574.87 ,"1,350,706",$563.99 ,"491,826",$599.23 ,"45,869",$634.21 ,"4,574,182",$847.98 ,"38,970",$651.58 ,"4,535,212",$849.66 ,"190,876",$628.50 ,"10,276",$537.25 ,"180,600",$633.70 ,"206,686",$539.75 ,"5,998",$377.46 ,"200,688",$544.61 ,"2,439",$740.16 ,251,$697.58 ,"2,188",$745.05 ,"5,495,669",$820.26 ,"3,048,131",$920.05 ,"2,447,538",$695.98 ,"151,756",$208.99 ,"4,110",$165.26 ,"147,646",$210.20 ,"1,503,978",$240.47 ,"1,414,714",$233.89 ,"59,136",$344.19 ,"30,128",$346.04 ,,,,,,,,,,,
Nov-02,"29,182,074",$882.19 ,"15,099,447",$993.35 ,"14,082,627",$763.01 ,"2,687,534",$445.06 ,"35,064",$252.65 ,"2,652,470",$447.60 ,"474,753",$419.97 ,"270,362",$391.43 ,"192,267",$457.16 ,"12,124",$466.78 ,"1,898,155",$576.00 ,"1,350,514",$564.85 ,"492,449",$599.69 ,"55,192",$637.36 ,"4,571,479",$848.66 ,"39,135",$652.77 ,"4,532,344",$850.35 ,"192,034",$630.63 ,"10,350",$539.32 ,"181,684",$635.83 ,"207,124",$540.26 ,"6,054",$378.66 ,"201,070",$545.12 ,"2,420",$741.71 ,249,$697.28 ,"2,171",$746.81 ,"5,520,219",$822.18 ,"3,059,178",$921.99 ,"2,461,041",$698.11 ,"151,614",$209.39 ,"4,130",$165.35 ,"147,484",$210.63 ,"1,515,250",$241.22 ,"1,418,981",$234.17 ,"59,255",$344.65 ,"37,014",$345.81 ,,,,,,,,,,,
Dec-02,"29,190,137",$895.00 ,"15,100,473","$1,007.81 ","14,089,664",$774.09 ,"2,681,153",$451.34 ,"35,134",$256.10 ,"2,646,019",$453.93 ,"476,684",$426.41 ,"270,231",$397.06 ,"192,085",$463.93 ,"14,368",$477.00 ,"1,907,899",$584.63 ,"1,350,533",$572.86 ,"492,985",$608.43 ,"64,381",$649.39 ,"4,563,280",$861.09 ,"39,260",$662.75 ,"4,524,020",$862.81 ,"194,117",$640.17 ,"10,618",$547.43 ,"183,499",$645.53 ,"207,358",$548.07 ,"6,098",$384.67 ,"201,260",$553.03 ,"2,400",$752.65 ,247,$707.53 ,"2,153",$757.82 ,"5,543,981",$834.32 ,"3,070,001",$935.60 ,"2,473,980",$708.63 ,"151,614",$212.44 ,"4,137",$168.48 ,"147,477",$213.67 ,"1,525,673",$245.00 ,"1,422,265",$237.40 ,"59,459",$349.05 ,"43,949",$350.09 ,,,,,,,,,,,
Jan-03,"29,220,529",$896.02 ,"15,115,187","$1,008.97 ","14,105,342",$774.98 ,"2,672,385",$451.61 ,"35,133",$256.40 ,"2,637,252",$454.21 ,"477,698",$428.02 ,"269,423",$398.68 ,"191,698",$464.69 ,"16,577",$480.92 ,"1,913,727",$586.56 ,"1,348,149",$574.80 ,"493,093",$608.81 ,"72,485",$654.05 ,"4,534,930",$861.80 ,"38,817",$664.20 ,"4,496,113",$863.51 ,"176,546",$629.15 ,"9,473",$535.66 ,"167,073",$634.45 ,"207,309",$548.51 ,"6,116",$386.06 ,"201,193",$553.45 ,"2,389",$752.65 ,248,$706.42 ,"2,141",$758.00 ,"5,578,117",$834.99 ,"3,086,862",$936.52 ,"2,491,255",$709.18 ,"149,472",$212.92 ,"4,116",$169.08 ,"145,356",$214.17 ,"1,531,506",$245.77 ,"1,421,427",$237.70 ,"59,785",$349.65 ,"50,294",$350.33 ,,,,,,,,,,,
Feb-03,"29,237,973",$896.53 ,"15,119,684","$1,009.56 ","14,118,289",$775.49 ,"2,666,463",$451.74 ,"35,189",$256.34 ,"2,631,274",$454.36 ,"480,450",$428.81 ,"270,063",$399.12 ,"191,564",$465.29 ,"18,823",$483.42 ,"1,923,933",$587.23 ,"1,349,269",$575.00 ,"493,717",$609.22 ,"80,947",$656.80 ,"4,531,196",$862.61 ,"39,171",$666.59 ,"4,492,025",$864.32 ,"178,483",$631.00 ,"9,647",$537.38 ,"168,836",$636.35 ,"207,375",$548.91 ,"6,160",$387.11 ,"201,215",$553.86 ,"2,376",$752.94 ,246,$704.40 ,"2,130",$758.54 ,"5,619,145",$835.70 ,"3,107,483",$937.45 ,"2,511,662",$709.81 ,"151,138",$213.56 ,"4,159",$168.53 ,"146,979",$214.83 ,"1,543,232",$246.00 ,"1,426,271",$237.48 ,"60,252",$349.46 ,"56,709",$350.45 ,,,,,,,,,,,
Mar-03,"29,255,772",$897.12 ,"15,126,111","$1,010.22 ","14,129,661",$776.05 ,"2,659,518",$451.81 ,"35,314",$255.97 ,"2,624,204",$454.45 ,"483,749",$429.46 ,"271,073",$399.36 ,"191,399",$465.76 ,"21,277",$486.49 ,"1,936,895",$587.81 ,"1,352,496",$574.99 ,"494,248",$609.70 ,"90,151",$659.98 ,"4,527,414",$863.42 ,"39,534",$668.31 ,"4,487,880",$865.13 ,"181,045",$632.60 ,"9,852",$539.66 ,"171,193",$637.95 ,"207,689",$549.16 ,"6,207",$387.22 ,"201,482",$554.14 ,"2,346",$753.11 ,242,$705.47 ,"2,104",$758.59 ,"5,648,402",$836.30 ,"3,121,331",$938.13 ,"2,527,071",$710.52 ,"151,795",$213.31 ,"4,163",$169.50 ,"147,632",$214.55 ,"1,557,008",$246.25 ,"1,433,053",$237.24 ,"60,468",$349.73 ,"63,487",$350.88 ,,,,,,,,,,,
Apr-03,"29,292,476",$897.72 ,"15,143,207","$1,010.91 ","14,149,269",$776.58 ,"2,655,905",$451.95 ,"35,497",$255.86 ,"2,620,408",$454.61 ,"487,044",$430.17 ,"272,163",$399.73 ,"191,502",$466.34 ,"23,379",$488.25 ,"1,946,398",$588.42 ,"1,353,770",$575.08 ,"494,715",$610.17 ,"97,913",$663.03 ,"4,526,334",$864.09 ,"39,868",$670.47 ,"4,486,466",$865.81 ,"183,011",$634.04 ,"10,056",$541.90 ,"172,955",$639.40 ,"207,948",$549.37 ,"6,246",$387.71 ,"201,702",$554.38 ,"2,339",$753.59 ,246,$706.26 ,"2,093",$759.15 ,"5,677,639",$837.06 ,"3,135,110",$938.94 ,"2,542,529",$711.42 ,"152,330",$213.39 ,"4,174",$169.07 ,"148,156",$214.63 ,"1,569,464",$246.54 ,"1,439,474",$237.14 ,"60,771",$349.53 ,"69,219",$351.66 ,,,,,,,,,,,
May-03,"29,325,100",$898.21 ,"15,158,199","$1,011.49 ","14,166,901",$777.00 ,"2,651,550",$452.04 ,"35,642",$255.76 ,"2,615,908",$454.71 ,"489,222",$430.85 ,"272,872",$400.22 ,"191,581",$466.85 ,"24,769",$489.74 ,"1,952,645",$588.82 ,"1,353,874",$575.08 ,"495,147",$610.51 ,"103,624",$664.73 ,"4,524,926",$864.73 ,"40,121",$672.24 ,"4,484,805",$866.45 ,"184,825",$635.24 ,"10,211",$543.26 ,"174,614",$640.62 ,"208,181",$549.78 ,"6,309",$388.53 ,"201,872",$554.82 ,"2,326",$754.95 ,242,$707.03 ,"2,084",$760.51 ,"5,701,874",$837.74 ,"3,145,947",$939.67 ,"2,555,927",$712.29 ,"152,469",$213.47 ,"4,197",$169.91 ,"148,272",$214.70 ,"1,577,698",$246.83 ,"1,443,222",$237.16 ,"60,970",$349.50 ,"73,506",$351.60 ,,,,,,,,,,,
Jun-03,"29,353,016",$898.73 ,"15,168,031","$1,012.08 ","14,184,985",$777.52 ,"2,646,203",$452.22 ,"35,695",$256.11 ,"2,610,508",$454.90 ,"481,429",$430.96 ,"273,584",$401.62 ,"191,634",$467.40 ,"16,211",$495.57 ,"1,916,855",$588.57 ,"1,354,493",$576.37 ,"495,672",$610.95 ,"66,690",$669.84 ,"4,520,336",$865.53 ,"40,343",$674.15 ,"4,479,993",$867.26 ,"186,876",$639.20 ,"10,420",$546.67 ,"176,456",$644.67 ,"208,557",$550.20 ,"6,355",$389.68 ,"202,202",$555.25 ,"2,312",$755.78 ,243,$705.97 ,"2,069",$761.63 ,"5,729,977",$838.52 ,"3,159,040",$940.53 ,"2,570,937",$713.18 ,"152,905",$214.28 ,"4,250",$170.20 ,"148,655",$215.54 ,"1,554,926",$246.46 ,"1,448,341",$238.59 ,"61,203",$350.86 ,"45,382",$356.81 ,,,,,,,,,,,
Jul-03,"29,395,378",$899.26 ,"15,187,326","$1,012.72 ","14,208,052",$777.97 ,"2,642,570",$452.36 ,"35,817",$256.24 ,"2,606,753",$455.05 ,"470,147",$430.69 ,"273,853",$404.07 ,"191,628",$468.04 ,"4,666",$459.33 ,"1,870,084",$587.52 ,"1,351,381",$578.06 ,"496,194",$611.39 ,"22,509",$629.52 ,"4,518,336",$866.17 ,"40,584",$675.33 ,"4,477,752",$867.90 ,"186,292",$643.91 ,"10,469",$550.54 ,"175,823",$649.47 ,"208,650",$550.41 ,"6,411",$390.12 ,"202,239",$555.49 ,"2,303",$756.04 ,243,$708.79 ,"2,060",$761.61 ,"5,755,016",$839.22 ,"3,170,911",$941.27 ,"2,584,105",$713.99 ,"152,008",$215.27 ,"4,266",$170.84 ,"147,742",$216.55 ,"1,526,643",$245.77 ,"1,449,621",$240.28 ,"61,366",$351.80 ,"15,656",$337.96 ,,,,,,,,,,,
Aug-03,"29,424,717",$899.84 ,"15,200,358","$1,013.42 ","14,224,359",$778.46 ,"2,638,091",$452.55 ,"35,901",$256.41 ,"2,602,190",$455.25 ,"471,075",$431.60 ,"273,429",$404.89 ,"191,603",$468.58 ,"6,043",$467.64 ,"1,875,626",$588.03 ,"1,350,144",$578.29 ,"496,742",$611.78 ,"28,740",$635.00 ,"4,514,982",$866.97 ,"40,712",$677.50 ,"4,474,270",$868.69 ,"185,860",$645.09 ,"10,464",$550.93 ,"175,396",$650.71 ,"208,822",$550.85 ,"6,449",$390.62 ,"202,373",$555.95 ,"2,295",$757.16 ,241,$713.49 ,"2,054",$762.29 ,"5,780,893",$840.01 ,"3,182,798",$942.12 ,"2,598,095",$714.90 ,"151,700",$215.77 ,"4,264",$172.54 ,"147,436",$217.02 ,"1,533,258",$246.40 ,"1,451,994",$240.56 ,"61,642",$352.19 ,"19,622",$346.22 ,,,,,,,,,,,
Sep-03,"29,461,921",$900.33 ,"15,217,081","$1,014.04 ","14,244,840",$778.86 ,"2,634,742",$452.62 ,"36,119",$256.30 ,"2,598,623",$455.35 ,"473,725",$432.18 ,"273,968",$405.05 ,"191,726",$469.09 ,"8,031",$476.80 ,"1,884,759",$588.51 ,"1,350,040",$578.31 ,"497,242",$612.13 ,"37,477",$642.77 ,"4,513,837",$867.66 ,"40,929",$678.91 ,"4,472,908",$869.39 ,"187,929",$646.55 ,"10,655",$553.36 ,"177,274",$652.15 ,"209,114",$551.22 ,"6,486",$390.80 ,"202,628",$556.35 ,"2,279",$758.98 ,242,$717.55 ,"2,037",$763.90 ,"5,805,864",$840.71 ,"3,194,062",$942.87 ,"2,611,802",$715.77 ,"151,834",$216.04 ,"4,283",$173.37 ,"147,551",$217.28 ,"1,541,744",$246.81 ,"1,454,531",$240.52 ,"61,898",$352.13 ,"25,315",$351.00 ,,,,,,,,,,,
Oct-03,"29,495,445",$900.82 ,"15,233,786","$1,014.64 ","14,261,659",$779.24 ,"2,631,518",$452.73 ,"36,245",$256.38 ,"2,595,273",$455.47 ,"476,160",$432.84 ,"274,057",$405.37 ,"191,850",$469.53 ,"10,253",$480.46 ,"1,893,244",$588.99 ,"1,348,126",$578.32 ,"497,603",$612.42 ,"47,515",$646.08 ,"4,510,165",$868.22 ,"41,062",$680.76 ,"4,469,103",$869.94 ,"188,207",$647.33 ,"10,766",$554.79 ,"177,441",$652.95 ,"209,363",$551.56 ,"6,526",$391.39 ,"202,837",$556.72 ,"2,271",$760.45 ,237,$720.38 ,"2,034",$765.12 ,"5,825,375",$841.40 ,"3,202,671",$943.60 ,"2,622,704",$716.60 ,"151,137",$216.30 ,"4,264",$173.63 ,"146,873",$217.54 ,"1,549,608",$247.40 ,"1,454,978",$240.58 ,"62,021",$352.53 ,"32,609",$351.80 ,,,,,,,,,,,
Nov-03,"29,515,498",$902.62 ,"15,241,852","$1,016.66 ","14,273,646",$780.86 ,"2,626,836",$453.47 ,"36,399",$257.68 ,"2,590,437",$456.22 ,"478,142",$434.41 ,"273,979",$406.96 ,"191,750",$470.37 ,"12,413",$484.69 ,"1,901,573",$590.17 ,"1,346,382",$579.25 ,"498,269",$612.86 ,"56,922",$649.93 ,"4,505,446",$868.89 ,"41,198",$682.14 ,"4,464,248",$870.61 ,"188,765",$649.25 ,"10,803",$557.14 ,"177,962",$654.84 ,"209,472",$552.05 ,"6,541",$392.68 ,"202,931",$557.19 ,"2,255",$762.52 ,236,$723.70 ,"2,019",$767.06 ,"5,852,357",$843.21 ,"3,215,133",$945.35 ,"2,637,224",$718.69 ,"151,058",$216.77 ,"4,284",$173.20 ,"146,774",$218.04 ,"1,561,784",$248.12 ,"1,459,922",$240.86 ,"62,266",$352.97 ,"39,596",$351.08 ,,,,,,,,,,,
Dec-03,"29,531,611",$922.08 ,"15,247,841","$1,038.68 ","14,283,770",$797.62 ,"2,621,691",$463.10 ,"36,523",$263.09 ,"2,585,168",$465.92 ,"480,033",$444.20 ,"273,646",$415.81 ,"191,704",$480.56 ,"14,683",$498.64 ,"1,909,983",$603.10 ,"1,345,029",$591.42 ,"498,659",$626.10 ,"66,295",$667.00 ,"4,497,856",$887.74 ,"41,410",$697.71 ,"4,456,446",$889.51 ,"190,252",$663.74 ,"11,013",$570.46 ,"179,239",$669.47 ,"209,359",$563.79 ,"6,571",$400.78 ,"202,788",$569.07 ,"2,238",$779.16 ,234,$740.63 ,"2,004",$783.66 ,"5,873,673",$861.56 ,"3,224,624",$965.91 ,"2,649,049",$734.52 ,"150,886",$221.37 ,"4,308",$176.94 ,"146,578",$222.67 ,"1,570,893",$253.85 ,"1,461,633",$245.90 ,"62,451",$360.92 ,"46,809",$359.14 ,,,,,,,,,,,
